Model,Rok,Kilometry,Objem motoru,Výkon,Cena
Renault  R5 GT Turbo Phase 1,1987,150589 Km,1397 ccm,85 kW,525000
Renault Clio Sport Esprit Alpine E-Tech ful,2023,30354 Km,1598 ccm,105 kW,525000
Renault MÃ©gane Intens E-Tech Plug-in,2021,56205 Km,1598 ccm,116 kW,470000
Renault Clio Sport E-Tech Hybrid,2022,8980 Km,1598 ccm,103 kW,420000
Renault MÃ©gane GT,2017,102215 Km,1618 ccm,151 kW,380000
Renault MÃ©gane Renault MÃ©gane R.S Trophy,2012,121000 Km,,195 kW,379990
Renault MÃ©gane RFB,2018,77305 Km,1618 ccm,151 kW,375000
Renault MÃ©gane GT 205,2017,186000 Km,1600 ccm,151 kW,365000
Renault MÃ©gane RS Cup,2011,177000 Km,2000 ccm,186 kW,350000
Renault MÃ©gane RS,2014,156800 Km,1998 ccm,195 kW,343000
Renault Laguna CoupÃ© 3.0 V6 dCi Initiale,2013,170000 Km,2998 ccm,177 kW,340000
Porsche 911 Carrera 911G,1985,210877 Km,3164 ccm,152 kW,1500000
Porsche Cayenne E3 II Coupe Sport Chrono,2024,9000 Km,2995 ccm,260 kW,2699000
Porsche 911 Targa 993,1998,113486 Km,3600 ccm,210 kW,2200000
Porsche Boxster 4.0 GTS Chrono,2021,28000 Km,3995 ccm,294 kW,1950000
Porsche 911 GT3 RS,2024,25 Km,3996 ccm,386 kW,7865000
Porsche 911 GT3 RS MR Manthey Lift PC,2018,12800 Km,3996 ccm,383 kW,5999000
Porsche 911 TARGA 2.4 S,1972,85499 Km,2341 ccm,,4625000
Porsche 911 Targa 4S Bose Chrono ZÃ¡ru,2021,15628 Km,2981 ccm,331 kW,3999000
Porsche Panamera ST Turbo S eHybrid PCCB Z,2022,50660 Km,3996 ccm,515 kW,3299000
Porsche 911 992 Carrera S PDK Club Bo,2021,46030 Km,2981 ccm,331 kW,3199000
Porsche 911 911 Carrera S/PDLS/Chrono,2021,23300 Km,2981 ccm,331 kW,3190000
Porsche 718 Cayman GTS 4.0 PDK Bose P,2025,1648 Km,3995 ccm,294 kW,2999000
Porsche Panamera Turbo ST PDLS Chrono ZÃ¡ru,2019,54154 Km,3996 ccm,404 kW,2249000
Porsche Macan GTS PDLS+ Vzduch Burmeste,2023,33050 Km,2894 ccm,324 kW,2149000
Porsche Taycan Turbo PSCB Burmester Pano,2021,48964 Km,,500 kW,2099000
Porsche Taycan 4S 93.4 kWh Performance,2020,69500 Km,,420 kW,1950000
Porsche Cayenne S III 324kw TS8,2021,104377 Km,2894 ccm,324 kW,1650000
Porsche Macan T PDK ACC Vzduch Chrono 1,2022,31678 Km,1984 ccm,195 kW,1599000
Porsche Cayman 3.6 V6 958,2010,29000 Km,,221 kW,1495000
Porsche Macan S Diesel,2017,241947 Km,2967 ccm,190 kW,808000
Porsche Cayenne Diesel II FL,2014,274000 Km,2967 ccm,193 kW,775000
Porsche Cayenne GTS,2013,191000 Km,4806 ccm,309 kW,670000
Porsche 911 GT3 CLUB Sport*ZÃ¡ruka*PPF,2021,36000 Km,3996 ccm,375 kW,4490911
Porsche Carrera GT *PTS*SportDesign*Bur mest,2023,20326 Km,2984 ccm,283 kW,3750000
Porsche Cayenne E-Hybrid Coupe,2024,9500 Km,2995 ccm,346 kW,3249900
Porsche Cayenne E-Hybrid *360kamera*Spor,2023,21334 Km,2995 ccm,346 kW,3138000
Porsche Cayenne S 4x4 A/T,2019,98500 Km,2894 ccm,324 kW,1615000
Porsche Cayenne S Diesel*PANO*TAÅ½NÃ*KE SSY,2017,93000 Km,4134 ccm,283 kW,1419000
"Porsche Macan 3,0 V6 TDI CZ Navi KÅ¯Å¾e D",2016,83290 Km,2967 ccm,190 kW,801652
Porsche 911 Cabriolet,2025,5000 Km,2981 ccm,290 kW,3995000
"Pontiac Fiero FIERO GT, 2.8, 93KW, V6",1988,125271 Km,2817 ccm,93 kW,249000
Pontiac Trans Am TRANS AM Y82 BLACK BANDIT,1978,19500 Km,6600 ccm,177 kW,1512500
Pontiac Firebird,1984,140000 Km,5000 ccm,160 kW,280000
Peugeot 508 1.6THP 133kW*ÄR*DPH*A/T*S,2019,71000 Km,1598 ccm,133 kW,389900
"Peugeot 406 CoupÃ© 3.0i, 152KW, V6",1998,151399 Km,2946 ccm,140 kW,99000
Peugeot 308 Break/SW  SW 2.0 BlueHDi,2015,233997 Km,1997 ccm,110 kW,200000
Peugeot RCZ 1.6 THP BVA 156k,2011,95344 Km,1598 ccm,115 kW,195000
"Peugeot 308 2,0 HDI 133kW Aut. CZ Nav",2017,157341 Km,1997 ccm,133 kW,299999
"Peugeot 508 2,2 HDI 150kW CZ Premium",2014,106831 Km,2179 ccm,150 kW,259999
Peugeot 308 2.0Hdi 110kw,2014,128093 Km,1997 ccm,110 kW,209999
Peugeot 308 2.0Hdi 110kw,2015,234462 Km,1997 ccm,110 kW,189999
Peugeot 207 CC CC 1.6 16v 88kw Kabriolet,2009,75729 Km,1598 ccm,88 kW,129999
Peugeot 508 PSE 4x4 360 k e-EAT8,2022,2 Km,1598 ccm,265 kW,1749000
Peugeot 308 SW e-GT PACK HYBRID 225 e,2022,30000 Km,1598 ccm,165 kW,990000
Peugeot 308 e-GT PACK HYBRID 225K e-E,2022,40000 Km,1598 ccm,165 kW,970000
Peugeot 508 1.6 PureTech E6d-ISC GT,2019,25201 Km,1598 ccm,165 kW,750000
"Peugeot 308 SW GT 1.6 HYBRID, Automat",2023,15390 Km,1598 ccm,133 kW,630000
Peugeot 508 SW Combi Allure 2.0Hdi ÄR,2020,78500 Km,1997 ccm,120 kW,625000
Peugeot 508 SW GT PACK HYBRID 225k eE,2021,84086 Km,1598 ccm,133 kW,599000
Peugeot 508 GT Line 1.6 PureTech,2019,60130 Km,1598 ccm,165 kW,560000
"Peugeot 508 SW GT LINE 1,6PT 180k EAT",2019,42139 Km,1598 ccm,133 kW,559000
Peugeot 508 2.0 BlueHDi GT-Line EAT8,2019,43712 Km,1997 ccm,130 kW,539001
"Peugeot 508 1,6 GT-LINE PureTech CZ 1",2019,50729 Km,1598 ccm,133 kW,519999
Peugeot 508 2.0 BlueHDi,2019,84480 Km,1997 ccm,130 kW,500000
Peugeot 308 GTI EDITION blue/black,2018,105620 Km,1598 ccm,200 kW,479000
Peugeot 508 GT Line 1.6 PureTech,2020,94441 Km,1598 ccm,133 kW,470000
Peugeot 508 GT Line 1.6 PureTech,2019,110634 Km,1598 ccm,133 kW,460000
Peugeot 508 1.6 PureTech,2020,111335 Km,1598 ccm,133 kW,460000
Peugeot 508 2.0 BlueHDi,2019,122805 Km,1997 ccm,130 kW,450000
Peugeot 308 Gti,2017,76000 Km,1600 ccm,200 kW,450000
Peugeot 508 Allure 1.6 PureTech,2020,131275 Km,1598 ccm,133 kW,430000
Peugeot  207 Effetto Suolo - Showcar,2006,642 Km,1600 ccm,,425000
Peugeot 207 CC Effetto Suono,2007,606 Km,1600 ccm,,425000
"Opel Astra 1,2   ULTIMATE, 1.2 turbo",2022,45000 Km,,,495000
"Opel Astra 2,0 CDTi 121kW Cosmo Spor",2012,221427 Km,1956 ccm,121 kW,119900
Opel Speedster,2001,21000 Km,,108 kW,877000
Opel Kadett B 1900 Rallye,1970,56560 Km,,66 kW,752000
Opel Insignia OPC Insignia GSi,2021,110520 Km,1998 ccm,169 kW,648000
Opel Speedster 2.2,2002,89000 Km,2198 ccm,112 kW,530000
Opel Calibra 2.0i Turbo 4x4,1995,169500 Km,1997 ccm,150 kW,500000
Opel GT 20Turbo 350PS-470Nm,2009,55000 Km,2000 ccm,260 kW,475000
Opel Astra OPC,2017,70000 Km,1998 ccm,206 kW,450000
Opel Insignia OPC,2014,133000 Km,2792 ccm,239 kW,420000
Opel Astra GTC SPORT OPC line,2015,43923 Km,1600 ccm,147 kW,400000
Opel Calibra Turbo 4x4,1997,70000 Km,1998 ccm,210 kW,399999
Opel Astra GSi 2.0 16V - zÃ¡vodnÃ­ vÅ¯z,1992,1 Km,,110 kW,399000
Opel Astra Opel Astra J GTC OPC,2013,81300 Km,1998 ccm,206 kW,399000
Opel Insignia OPC,2011,144000 Km,2792 ccm,239 kW,369420
Opel Corsa OPC Corsa E OPC Performance,2016,96000 Km,1600 ccm,152 kW,340000
Opel Cascada 2. 0 CDTI 170k Cabrio 20,2017,101526 Km,1956 ccm,125 kW,312000
Opel Kadett Mattig Tuning,1988,141000 Km,1984 ccm,85 kW,299999
Opel Cascada,2013,89000 Km,1400 ccm,130 kW,299900
Opel Insignia OPC,2013,149000 Km,2800 ccm,272 kW,290000
"Opel Cascada 1,6 1.6 TURBO Cosmo LED",2013,137165 Km,1598 ccm,125 kW,289000
"Opel  Monza 3.0L 179HP, V ÄR",1985,85000 Km,3000 ccm,132 kW,275000
"Opel Astra 1,6 Turbo 125kW AT 1.maji",2015,122670 Km,1598 ccm,125 kW,274900
Opel GT,2009,96822 Km,1998 ccm,194 kW,250000
Opel Calibra 2.0 16V Turbo 4x4,1995,210000 Km,1998 ccm,150 kW,245000
Opel Calibra 2.0 16v Turbo 4x4,1993,194600 Km,1996 ccm,150 kW,200000
Opel Astra Sport Tourer  ST 2.0 CDTI,2012,152477 Km,1956 ccm,121 kW,187000
Opel Calibra 2.0 16 v Dtm,1996,177000 Km,1998 ccm,100 kW,169900
Opel Astra GTC 1.4 Turbo,2012,120000 Km,,88 kW,159000
"Opel Corsa OPC 1,6i OPC Turbo 141kW",2008,149966 Km,1598 ccm,141 kW,158800
Nissan GT-R GTR CoupÃ© 3.8 4x4 750hp,2015,99000 Km,3799 ccm,559 kW,2050000
Nissan 370 Z,2016,23000 Km,,,595000
Nissan GT-R Black Edition,2011,20000 Km,3800 ccm,625 kW,4500000
Nissan GT-R 3.8 V6 Black Edition,2018,18389 Km,3799 ccm,419 kW,3630000
Nissan Skyline GT-R R34,2000,117000 Km,2568 ccm,206 kW,3550000
Nissan GT-R Anniversary Edition 50th,2021,17037 Km,3799 ccm,419 kW,3500000
Nissan Skyline GT-R R34,1999,27500 Km,2568 ccm,206 kW,3350000
Nissan GT-R Black Edition,2019,21889 Km,3799 ccm,419 kW,3200000
Nissan GT-R Nissan GTR 2017,2017,40000 Km,3799 ccm,419 kW,2599000
Nissan GT-R R35,2018,67000 Km,3800 ccm,500 kW,2500000
Nissan Skyline GT-R R33,1995,122400 Km,2568 ccm,206 kW,2390000
Nissan GT-R R35 - Black Edition,2017,60000 Km,3800 ccm,419 kW,2300000
Nissan  Z,2023,1565 Km,3000 ccm,298 kW,2150510
Nissan GT-R,2015,97000 Km,3799 ccm,419 kW,2150000
Nissan GT-R Black edition,2014,58720 Km,3800 ccm,404 kW,1950000
Nissan Skyline GT-R R33,1996,83700 Km,2568 ccm,206 kW,1920000
"Nissan GT-R Black Edition, 2012",2012,81700 Km,3799 ccm,404 kW,1750000
Nissan Skyline GT-R R32 Godzilla,1993,83000 Km,2568 ccm,206 kW,1732000
Nissan GT-R TOP*ORIGINALNI STAV*ÄR*DP,2010,72000 Km,3799 ccm,357 kW,1647999
Nissan Skyline GT-R R33,1995,99999 Km,2568 ccm,206 kW,1505000
Nissan Skyline R33 GTR V-Spec,1995,46000 Km,2600 ccm,280 kW,1500000
"Nissan Skyline GTR R32 RHD, CZ REG.",1994,161500 Km,2568 ccm,206 kW,1390000
Nissan  Datsun 280Z 2+2,1977,2000 Km,2753 ccm,125 kW,1300000
"Nissan GT-R BLACK EDITION, BOSE",2010,112000 Km,3799 ccm,485 kW,1290000
Nissan 200 SX,1998,0 Km,,224 kW,1000000
Nissan 300 ZX TwinTurbo,1991,225000 Km,,343 kW,762000
Nissan 200 SX Turbo S13,1993,56000 Km,,125 kW,752000
Nissan 200 SX S15 spec R,1999,153123 Km,1999 ccm,200 kW,750000
Nissan 370 Z 370Z NISMO,2014,23000 Km,3700 ccm,253 kW,700000
Nissan Skyline Silvia S15 SpecR  Aero,1999,105000 Km,1998 ccm,199 kW,699500
Mitsubishi Lancer EVO Tommi Makinen 6.5 TME RHD,1999,129500 Km,1998 ccm,210 kW,799500
Mitsubishi Lancer EVO Evolution VI*GSR*LHD*ENKE,1999,117500 Km,1990 ccm,,899000
Mitsubishi Lancer EVO Evo 6.5 Tommi Makinen RS,1999,120000 Km,2000 ccm,336 kW,1890000
Mitsubishi Lancer EVO,2006,100 Km,,360 kW,1580000
"Mitsubishi Lancer EVO 6.5 Tommi Makinen, SOLD",2000,71500 Km,,206 kW,1355555
Mitsubishi Lancer EVO Tommi Makinen 6.5 uÅ¾ LHD,2000,137000 Km,1999 ccm,206 kW,1195000
"Mitsubishi Lancer EVO Tommi Makinen/RHD, CZ REG",2000,105000 Km,1997 ccm,206 kW,1150000
Mitsubishi Lancer EVO,2014,61000 Km,,224 kW,1000000
Mitsubishi Lancer EVO 6 FIA Group A LHD FIA,1999,75800 Km,1999 ccm,285 kW,999900
Mitsubishi  Pajero Evo JDM Evolution,1997,134800 Km,,206 kW,999555
Mitsubishi Lancer EVO Lancer Evolution VIII MR,2003,151092 Km,,268 kW,950000
Mitsubishi 3000 GT VR4,1991,230136 Km,2972 ccm,210 kW,945000
Mitsubishi Lancer EVO V GSR,1998,105000 Km,1998 ccm,206 kW,920000
Mitsubishi Lancer EVO RS2,2002,99000 Km,,206 kW,890000
Mitsubishi Lancer EVO 9,2006,0 Km,2000 ccm,288 kW,890000
Mitsubishi Lancer EVO X MIVEC turbo,2009,28000 Km,,217 kW,888888
Mitsubishi Lancer EVO V GSR,1998,81000 Km,1998 ccm,206 kW,885000
Mitsubishi Lancer EVO Evo 9,2006,136000 Km,,265 kW,870000
Mitsubishi Lancer EVO GSR ManuÃ¡l,2014,80000 Km,1998 ccm,288 kW,855000
Mitsubishi Lancer EVO Evolution 10 MR 2.0,2008,82078 Km,1998 ccm,217 kW,845790
Mitsubishi 3000 GT VR4,1993,139600 Km,2972 ccm,210 kW,840000
Mitsubishi Lancer EVO Evo IX MR,2007,97000 Km,,280 kW,830000
Mitsubishi Lancer EVO Evo 6 GSR,1999,175000 Km,,228 kW,799999
Mitsubishi 3000 GT VR4,1993,105000 Km,2972 ccm,210 kW,780000
Mitsubishi Lancer EVO VIII,2003,137500 Km,1997 ccm,195 kW,750000
Mitsubishi Lancer EVO Lancer Evolution,2001,84000 Km,,206 kW,750000
Mitsubishi Lancer EVO 7 JDM RHD pÄknÃ© bez koroz,2001,128500 Km,,210 kW,725500
Mitsubishi Lancer EVO 5 1998 uÅ¾ LHD 105t km naj,1998,105000 Km,1998 ccm,210 kW,715555
Mitsubishi Lancer EVO 6 LHD 1999 bÃ­lÃ© krÃ¡snÃ©,1999,157500 Km,,210 kW,715555
Mitsubishi Lancer EVO Lancer Evolution VIII RS,2005,66000 Km,1998 ccm,220 kW,699000
Mini Cooper S PaketXL Favoured JCW-Se,2024,5515 Km,1998 ccm,150 kW,999000
Mini Cooper GP/Bluetooth/VÃ½hÅevy,2020,5600 Km,1998 ccm,225 kW,999000
Mini Cooper JOHN WORKS Cabrio,2022,7800 Km,1998 ccm,170 kW,890000
Mini Cooper SE 135kW CarPlay Navi LED,2021,30354 Km,,135 kW,499000
Mini Cooper S All4/hi-fi/Lighthous e/P,2012,180330 Km,1598 ccm,135 kW,245000
Mini Cooper 1.6i 118PS AT,2007,134451 Km,1598 ccm,88 kW,188000
"Mini Clubman 2,0 Cooper S ALL4 AT",2021,103000 Km,1998 ccm,131 kW,619999
"Mini Cooper 2,0 170kW JOHN COOPER WOR",2017,105161 Km,1998 ccm,170 kW,413222
Mini Countryman JCW ALL4 PaketXL TaÅ¾nÃ© ZÃ¡,2024,5220 Km,1998 ccm,221 kW,1399000
Mini Cooper JOHN WORKS GP NR.1420,2020,4500 Km,1998 ccm,225 kW,1210000
Mini Cooper S Jcw GP,2006,25000 Km,1600 ccm,160 kW,1130311
Mini Countryman John Cooper Works,2024,3567 Km,1998 ccm,225 kW,1000000
Mini Countryman JCW Paket John Cooper Wor,2024,20595 Km,1998 ccm,225 kW,980000
Mini Cooper John Cooper Works GP1085,2020,35878 Km,1998 ccm,225 kW,969999
Mini Countryman JCW Paket John Cooper Wor,2024,1493 Km,1998 ccm,225 kW,960000
Mini Cooper JCW LimitovanÃ¡ Edice,2021,10099 Km,1998 ccm,170 kW,950000
Mini Cooper S ALL4 AT/Chilli/Wider/H-,2021,33000 Km,1995 ccm,140 kW,899000
Mini Countryman Cooper S ALL4,2024,16233 Km,1998 ccm,131 kW,880000
Mini Countryman ALL4 Paket Cooper S ALL4,2024,15360 Km,1998 ccm,131 kW,880000
Mini Countryman Classic Paket Cooper S AL,2024,8378 Km,1998 ccm,131 kW,860000
Mini Clubman John Cooper Work All4,2021,27500 Km,1998 ccm,225 kW,850000
Mini Countryman ALL4 Paket Cooper S ALL4,2023,16493 Km,1998 ccm,131 kW,850000
Mini Cooper S,2023,6700 Km,1998 ccm,131 kW,812000
Mini Countryman C,2024,6465 Km,1499 ccm,125 kW,800000
Mini Countryman Classic Paket Cooper,2024,17762 Km,1499 ccm,100 kW,800000
Mini Countryman Classic Paket Cooper,2024,13112 Km,1499 ccm,100 kW,800000
Mini Countryman Classic Paket Cooper,2024,16145 Km,1499 ccm,100 kW,800000
Mini Countryman ALL4 Paket Cooper,2023,5406 Km,1499 ccm,100 kW,750000
Mini Countryman Classic Paket Cooper,2024,10813 Km,1499 ccm,100 kW,730000
Mini Cooper F56 JCW,2016,86000 Km,,170 kW,700000
MG  HS 1.5 TGI Exclusive 7DCT,2024,1 Km,1496 ccm,125 kW,675950
MG  HS 1.5 TGI Emotion 7DCT,2024,1 Km,1496 ccm,125 kW,618099
MG  HS 1.5 TGI Emotion 7DCT,2024,1 Km,1496 ccm,125 kW,618099
MG  HS 1.5 TGI Emotion 7DCT,2024,1 Km,1496 ccm,125 kW,603223
MG Cyberster,2024,5 Km,,375 kW,1800000
MG  MGA Twin Cam Roadster,1959,217 Km,,175 kW,1505000
"MG  MG4 0,1 77kWh Exclusive 7L.ZÃ¡",2024,10920 Km,,180 kW,779900
MG  B GT SEBRING RHD,1978,0 Km,1800 ccm,,775000
MG  MGB Roadster Mk1,1964,93353 Km,,99 kW,752000
"MG  HS 1,5 PHEV 190kW Exclusive",2023,9400 Km,1490 ccm,190 kW,639900
"MG  EHS 1,5 PHEV 190kW Exclusive",2023,18690 Km,1490 ccm,190 kW,629900
"MG  EHS 1,5 PHEV 190kW Exclusive",2023,16350 Km,1490 ccm,190 kW,629900
"MG  EHS 1,5 PHEV 190kW Exclusive",2024,19400 Km,1490 ccm,190 kW,629900
"MG  EHS 1,5 PHEV 190kW 14tkm. ÄR",2023,14150 Km,1490 ccm,190 kW,599900
"MG  HS 1,5 PHEV 190kW 24tkm. ÄR",2023,24720 Km,1490 ccm,190 kW,589900
"MG  EHS 1,5 PHEV 190kW 29tkm.ÄR",2023,29520 Km,1490 ccm,190 kW,584900
"MG  MG5 0,1 50 kWh Emotion 8 150k",2024,8150 Km,,130 kW,569900
MG  3 Emotion Hybrid+,2025,10 Km,1490 ccm,143 kW,520000
MG  3 Essential Hybrid+,2025,10 Km,1490 ccm,143 kW,480000
MG  MG3 1.5 T HYBRID+ Emotion,2024,1 Km,1498 ccm,143 kW,437934
MG  MG3 1.5 T HYBRID+ Emotion,2024,1 Km,1498 ccm,143 kW,437934
MG  MG3 1.5 T HYBRID+ Emotion,2024,1 Km,1498 ccm,143 kW,437934
MG  MG3 1.5 T HYBRID+ Emotion,2024,1 Km,1498 ccm,143 kW,437934
MG  MG3 1.5 T HYBRID+ Emotion,2024,1 Km,1498 ccm,143 kW,437934
MG  MG3 1.5 T HYBRID+ Emotion,2024,1 Km,1498 ccm,143 kW,425537
MG  MG3 1.5 T HYBRID+ Emotion,2024,1 Km,1498 ccm,143 kW,425537
MG  MGB - GT,1965,21400 Km,1800 ccm,70 kW,390000
MG  1.3 Metro Turbo,1984,200 Km,,100 kW,220000
MG MGF,2000,137000 Km,1800 ccm,88 kW,109000
MG ZT 190,2003,197000 Km,2497 ccm,140 kW,50000
Mercedes-Benz AMG GT 53 320kW 4Matic+,2019,125480 Km,2998 ccm,320 kW,1790000
"Mercedes-Benz SL 6,0 65 AMG 450kw Top stav",2005,101206 Km,5981 ccm,450 kW,1150000
"Mercedes-Benz SL 5,0 500 V8 235kw, pÅ¯vodnÃ­",1991,101036 Km,4973 ccm,245 kW,290000
Mercedes-Benz E E63S,2018,130000 Km,3982 ccm,450 kW,1490000
Mercedes-Benz A 35 AMG,2019,79000 Km,1991 ccm,225 kW,950000
Mercedes-Benz CLA 250,2022,54000 Km,1991 ccm,165 kW,939000
Mercedes-Benz S 63 E Perf. 4M Edition1 Ce,2024,11241 Km,3982 ccm,590 kW,4999000
Mercedes-Benz E Brabus 800 4M Final-Editi,2023,14331 Km,3982 ccm,588 kW,4598999
Mercedes-Benz  GLS 63 AMG Ceramic Larte 3D-B,2023,22060 Km,3982 ccm,450 kW,4299001
Mercedes-Benz AMG GT 63S 4M Carbon Aero Cerami,2023,23283 Km,3982 ccm,470 kW,3899000
Mercedes-Benz SL 63 AMG Ceramic Carbon ZÃR,2023,9890 Km,3982 ccm,430 kW,3699000
Mercedes-Benz  GLS 580 4M AMG E-ABC 3D-Bur T,2024,10826 Km,3982 ccm,380 kW,3599000
Mercedes-Benz  GLS 400d 4M AMG Pano Nez.Top,2023,30352 Km,2925 ccm,243 kW,2499000
Mercedes-Benz  GLS 400d AMG TaÅ¾nÃ© Nez.Top ZÃ¡,2022,35027 Km,2925 ccm,243 kW,2499000
Mercedes-Benz AMG GT Mercedes- kupÃ© S A/T,2018,34782 Km,3982 ccm,384 kW,2475000
Mercedes-Benz  GLE 350de 4MATIC kupÃ© AMG NIG,2024,5749 Km,1993 ccm,245 kW,2450250
Mercedes-Benz  GLE 450d 4M AMG Vzduch Night,2024,11891 Km,2989 ccm,270 kW,2299000
Mercedes-Benz  GLE 580 4M AMG TaÅ¾nÃ© Nez.Top,2023,45336 Km,3982 ccm,360 kW,2149000
Mercedes-Benz  GLS 400d 4M AMG MasÃ¡Å¾ TaÅ¾nÃ© H,2021,68660 Km,2925 ccm,243 kW,1999000
Mercedes-Benz  GLE 400d CoupÃ© AMG Nez.Top ZÃ¡,2020,74447 Km,2925 ccm,243 kW,1749001
Mercedes-Benz S 560 4MATIC L A/T,2019,134865 Km,3982 ccm,345 kW,1700000
Mercedes-Benz  GLC SUV SUV  /4 MATIC/ AMG LINE P,2023,46587 Km,1999 ccm,150 kW,1600000
"Mercedes-Benz CLE 300 4M AMG Night DBC 2,5Â°",2024,2495 Km,1999 ccm,190 kW,1599000
Mercedes-Benz C 63 AMG V8 350kW LED Pano,2019,30204 Km,3982 ccm,350 kW,1449000
Mercedes-Benz E 53 AMG 4M+ HUD Vzduch Pan,2018,105166 Km,2999 ccm,320 kW,1098999
Mercedes-Benz E 220d 4M AMG LED Distronic,2020,73535 Km,1950 ccm,143 kW,999000
Mercedes-Benz CLA 220 Shooting Brake AMG,2019,86320 Km,1991 ccm,140 kW,665500
Mercedes-Benz CLA KupÃ©  180 AMG Line A/T,2018,111262 Km,1595 ccm,90 kW,500000
Mercedes-Benz E KupÃ©  350 BlueTEC,2014,169600 Km,2987 ccm,185 kW,475000
Mercedes-Benz CLC 220 CDI A/T,2008,124990 Km,2148 ccm,110 kW,225000
McLaren 765LT Clubsport B&W Senna S,2022,4204 Km,3994 ccm,563 kW,10999000
McLaren 750S 750S Spider 60th-Edition,2024,8 Km,3994 ccm,552 kW,9999000
McLaren  Coupe,2024,50 Km,3999 ccm,552 kW,9190000
McLaren 750S *Racing sedadlÃ¡*zdvih*36,2024,354 Km,3994 ccm,552 kW,7938000
"McLaren 720S BR PERFORMANCE, LAUNCH ED",2017,3800 Km,3994 ccm,530 kW,7269999
McLaren 720S Launch Edition,2017,23000 Km,3994 ccm,530 kW,6955000
McLaren Artura Artura Performance,2024,2490 Km,2993 ccm,500 kW,6189999
McLaren 650S SPIDER 1 Maj NovÃ½,2017,130 Km,3799 ccm,478 kW,6000000
McLaren 720S Performance Carbon LIFT M,2018,14152 Km,3994 ccm,530 kW,5599000
McLaren 720S,2020,21500 Km,3994 ccm,530 kW,5550000
McLaren 570 570S GT4 Sprint,2018,3784 Km,3799 ccm,397 kW,5200000
"McLaren 650S Spider 1.majitel, PPF",2014,16990 Km,3799 ccm,478 kW,4490000
McLaren 570 570S coupÃ©,2016,16000 Km,3799 ccm,419 kW,3890000
McLaren 12C Lift/Meridian/El.Sed aÄky/,2014,14800 Km,3798 ccm,441 kW,2890000
Mazda MX-5,1994,189300 Km,1598 ccm,85 kW,399000
"Mazda  3 2,0   Skyactiv 88kw",2016,136000 Km,,,249000
Mazda MX-5 RACING,2001,0 Km,,,3625000
Mazda MX-5 - 30TH ANNIVERSARY,2019,15000 Km,2000 ccm,135 kW,1500000
"Mazda  CX-60 2,5 PHEV Takumi6L.Zar.10",2022,10050 Km,2488 ccm,241 kW,1068900
Mazda MX-5 30th Anniversary RF 0798,2019,5207 Km,1998 ccm,135 kW,999798
Mazda  CX-60 Takumi e-Skyactiv PHEV 2.,2022,27990 Km,2488 ccm,241 kW,995000
"Mazda  CX-60 2,5 PHEV AWD AT Exclusive",2024,5 Km,2488 ccm,241 kW,903270
Mazda MX-5 2.0i 135 kW 30th Annivers,2019,18679 Km,1998 ccm,135 kW,879900
Mazda MX-5 RF  2.0 Skyactiv-G184 Kaz,2024,206 Km,1998 ccm,135 kW,875000
Mazda  CX-9,2020,73310 Km,2488 ccm,190 kW,829000
"Mazda  MX-30 1,7 E-SKYACTIV R-EV EDITO",2024,5000 Km,1660 ccm,125 kW,685950
Mazda MX-5,2016,39000 Km,1998 ccm,135 kW,666666
Mazda RX-7,1996,122000 Km,1300 ccm,280 kW,653000
Mazda MX-5,2016,13700 Km,1500 ccm,96 kW,650000
"Mazda MX-5 ND2,G184,Recaro,220h p",2018,47000 Km,2000 ccm,135 kW,599000
Mazda  6,2019,82500 Km,2488 ccm,143 kW,599000
Mazda MX-5 G160 REVOLUTIONTOP RECARO,2018,46553 Km,1998 ccm,118 kW,598000
"Mazda  CX-5 2,5 G194 PS  Sports-Line",2019,95998 Km,2488 ccm,143 kW,584000
Mazda MX-5 RF,2018,53000 Km,1998 ccm,118 kW,580000
Mazda MX-5 2.0,2018,35122 Km,1999 ccm,118 kW,580000
Mazda MX-5 ND,2017,29000 Km,1998 ccm,118 kW,530000
"Mazda MX-5 2,0 Skyactiv-G184 Revolut",2019,29235 Km,1998 ccm,135 kW,499999
"Mazda  6 2,5 G194  Rev.TOP 1.majit",2019,129220 Km,2488 ccm,143 kW,478900
"Mazda MX-5 1,5 Skyactiv-G Sports-Lin",2017,68498 Km,1496 ccm,96 kW,459999
Mazda MX-5 ND Revolution Top,2015,70000 Km,,118 kW,449000
Mazda 3 MPS,2012,96000 Km,2300 ccm,295 kW,449000
Mazda MX-5 Gand Touring,2016,76500 Km,1998 ccm,135 kW,422000
Mazda RX-8 5 vozÅ¯,2010,75000 Km,1308 ccm,151 kW,400000
Mazda RX-8 NOVÃ VÅ®Z,2006,8000 Km,1308 ccm,141 kW,399999
Maserati  3500 GTi Touring Coupe,1962,258 Km,,235 kW,8290000
Maserati Ghibli 4.7 ONE OF THE BEST!,1970,22566 Km,,228 kW,7035000
Maserati  KHAMSIN,1978,0 Km,4930 ccm,,5875000
"Maserati MC20 Keramiky, karbon, Alcanta",2024,208 Km,2992 ccm,463 kW,5690000
Maserati  MISTRAL 3.7,1968,88109 Km,3700 ccm,,4875000
Maserati MC20,2022,10446 Km,2992 ccm,463 kW,4849999
Maserati  Bora 4.7,1973,87338 Km,,228 kW,4769000
Maserati  MISTRAL 4000 GT,1968,76221 Km,4012 ccm,,4625000
